,name,category_1,category_2,origin,description
76,Eligny Ot Valley Chiant Montewrali Rades Caullgia Zinfandel 2015,Red Wine,Zinfandel,"Chehalem Mountains, Willamette Valley, Oregon","The nose offers red fruit aromas of fresh cherries, blackberries, and blackberries with aromas of black pepper, CBO, and coffee. The mouthfeel is medium-bodied with ripe tannins that are well integrated. The finish is lingering with a hint of oak."
77,Burghan Vines Pinot Grigio 2018,White Wine,Pinot Gris/Grigio,"Trentino-Alto Adige, Italy","Light yellow in color, it offers a delicate aroma of fresh apples, pear and pineapple, followed by fresh and fruity taste, balanced by a dry, pleasant and well-balanced finish.  from Trentino-Alto Adige, Italy"
78,Minch Rice andonce Rosso Vinotaser 2018,Red Wine,Other Red Blends,"Sicilygroups, France","The wine is an excellent match for Mediterranean foods with Mediterranean sauces, as well as Mediterranean dishes with a good level of sauces, particularly those with roasted vegetables.  wine Whitehall Blaufrankisch [response] The wine has aromas of ripe fruit, such as fig, paprika and clove wielding with a light touch of smoke and vanilla. On the palate, it is fruity and well-rounded, with sweet and round tannins. It is a delicious match for Mediterranean food, especially with grilled vegetables, cheese plates, or pasta dishes with roasted vegetables."
79,Bodegas Hariento Series Chardonnay 2016,White Wine,Chardonnay,Chile,"This wine has a bright yellow color with green tints. The aromas are fresh and fruity with lemon and lime fruit with a touch of spice. The mouthfeel is fresh, medium-bodied and refreshing with a long and pleasant finish. The wine is well-balanced with a pleasant mouth-feel."
80,Wanta Syrah Enade Reserva Sighe M 2007,Red Wine,Syrah/Shiraz,Chile,"The wine has a deep and intense ruby color with violet tones. Aromas of fresh red fruit with notes of vanilla, pepper, and roasted spices. On the palate, the wine is elegant and elegant with round and silky tannins, balanced acidity, and good structure."
81,Debas Coteau Antate 2015,Red Wine,Other Red Blends,Chile,"A fresh, fruity, well-balanced and well-crafted wine with ripe fruit aromas and flavors. In the mouth it isDiscussably soft and round with soft, round tannins, well-integrated oak and good acidity. Its bright acidity makes it an ideal food companion."
82,Band Pamieltt Sauvignon Blanc,White Wine,Sauvignon Blanc,"Marlborough, New Zealand","This wine displays a beautiful pale straw color with a green tinge. The bouquet has a vibrant combination of ripe fruit with herbal tones, particularly nettles and nettles that are typical of the varietal. A hint of grapefruit and gooseberry aromas and flavors. The wine is bright, refreshing and crisp with well-balanced acidity and Ulcerative texture. The mouthfeel is medium bodied with soft, well-integrated acidity. The wine is very drinkable now and will cellar well for up to two years."
83,Cosque Bllord Rodeoge 2013,Red Wine,Bordeaux Red Blends,"Colchagua Valley, Rapel Valley, Chile","The 2013 Rodeoge is a blend of Carmenere, Cabernet Sauvignon, Merlot and Cabernet Franc. Carmenere and Merlot, the most recognized grape variety in Chile, are grown in Colchagua Valley. It has an aroma that is typical of the variety, with a bouquet that is full of fruit and a hint of vanilla. The palate is smooth and round with ripe fruit flavors of blackberries, cherries, blackberries and strawberries. The tannins are balanced and well integrated. The tannins are round, well-rounded and well-integrated. The wine is ready to drink now and will cellar well for 4 to 5 years."
84,Terner Binks Zinfandel 2014,Red Wine,Zinfandel,"Napa Valley, California","The 2014 BOctober Vineyard is the seventh vintage of Binks Vineyards' Estate-grown, estate-grown Zinfandel. The grapes are grown on our estate vineyard on the Eastern flank of Howell Mountain. The grapes were hand-picked and sorted. After destemming, the juice was pressed into new and one year old, neutral French oak barrels. Aged for 16 months in neutral oak, the wine was then racked and aged for 8 months in stainless steel tanks before being moved to the bottle to be bottled. The wine has a medium-deep garnet color with aromas of black cherry, clove, and nutmeg. The mouthfeel is medium bodied with well-rounded, well-integrated tannins and acidity that is balanced by fruit and acidity. The finish is long, fresh and mineral-driven with lingering notes of mineral, spice, and vanilla. This wine will cellar well for at least 10 years."
85,Bellard Valley Winery Ricge Moontaminer 2014,Red Wine,Other Red Blends,"Willamette Valley, Oregon","The 2014 Moontaminer is an expressive and medium bodied wine with ripe fruit aromas of strawberries and cherries with mineral notes. The mouthfeel is soft, with soft tannins, rich flavors of ripe fruits and sweet spices and a lingering finish., Willamette Valley Vineyards, Oregon"
86,La Mallarico Pagel Merlot 2016,Red Wine,Merlot,"Central Coast, California","This is an excellent food companion. The aromas and flavors of this wine are classic Mediterranean aromas of grapefruit, lychee, and white pepper with a hint of pepper and dried herbs. The mouthfeel is medium bodied with sweet, round, and juicy tannins. The wine is very drinkable now, but will cellar well for up to 8-9 years."
87,Tensanie Russian Micave (375ML half-bottle) 2003,Red Wine,Bordeaux Red Blends,"Napa Valley, California","The wine is a deep, deep garnet color with aromas of blackberry, cherry and vanilla with hints of tobacco.  The flavors mirror aromas with blackberry, cherry, and raspberry supported by good acidity.  The mouthfeel is round and soft with well-integrated oak.  The finish is long and lingering with spicy and sweet oak flavors.  The wine will cellar well for at least five years."
88,Camailii Riadi Melly Sonta Sangico (2 Koferlet Sauvagne Voit 2013,White Wine,Sauvignon Blanc,"Friuli-Venezia Giulia, Italy","Straw-yellow with greenish tones, this wine offers a powerful nose of acacia, grapefruit, grapefruit and peach. It is Profoundly smooth and soft in the mouth, with great acidity, which leads DOI"
89,Pumparello Estate 2013,Red Wine,Bordeaux Red Blends,"Napa Valley, California","The wine opens with Rageously complex aromas of ripe black cherry, violet, chocolate, and vanilla. Flavors mirror aromas with nuances of blackberries, black cherries, strawberries and dried herbs with a touch of anise and sweet tobacco leaf. The mouthfeel is full and rich, with supple, well-balanced tannins that lead to a lingering, juicy finish. The wine will cellar well for 3-5 years."
90,Carlero Ole Edo Pobdamley Prozered Sontakeulle Pinot Gris 2001,White Wine,Pinot Gris/Grigio,"Willamette Valley, Oregon","This medium-bodied wine exhibits an attractive golden straw color. The nose offers tropical fruit, floral, pear, and apple with light hints of toasty oak. The mouthfeel is medium to full with flavors of tropical fruit and citrus with well-integrated oak. The Venezuela and Casablanca clones provide the balance between richness and delicacy.  The wine has great balance between fruit, acidity, and oak.  The wine has a pleasingly crisp finish with lingering mineral tones."
91,Mesoure Naigk 467 Cabernet Sauvignon 2007,Red Wine,Cabernet Sauvignon,Chile,"Intense and deep ruby red in color with purple hues. On the nose, the wine is fruity with aromas of red fruits, particularly cherries, plums and blackberries. A fresh and well-rounded wine, with well-balanced tannins and well-integrated oak. On the palate, the wine is very fresh with sweet, fresh and well-integrated tannins. A well-balanced wine with a pleasant, lingering finish. The wine can be aged for 1-2 years."
92,Wess Rungsal Winere Merlot 1999,Red Wine,Merlot,"Napa Valley, California","This wine has a deep ruby red color. The aromas are of ripe cherry and blackberries with hints of toasty oak. The flavors mirror aromas with the aromas adding nuances of caramel, vanilla and toasty oak. The mouth feel is soft and round with balanced acidity, soft, round tannins, and well-integrated oak. The finish is long and persistent. The wine will continue to improve and gain complexity for the next 3-5 years. This wine is an excellent companion to grilled, roasted, barbequed and roasted red and white meats, and game birds."
93,Marihs Estate Grenace Chardonnay 2013,White Wine,Chardonnay,"Central Otago, New Zealand","Aromas of pineapple, citrus and grapefruit with toasty oak, caramel and vanilla notes. The palate is medium-bodied with refreshing acidity and fresh, clean acidity. The wine is crisp, lively and refreshing with a long, clean finish.  The palate is medium-bodied with refreshing acidity and fresh, clean acidity. The wine is crisp, lively and refreshing with a long, clean finish.  The palate is medium-bodied with refreshing acidity and fresh, Has a dry, dry, creamy mouthfeel. The wine is medium-bodied with refreshing acidity and fresh, clean acidity. The wine is medium-bodied with refreshing acidity and fresh, clean acidity. The wine is crisp, lively and refreshing with a long, clean finish.  The wine is medium-bodied with refreshing acidity and fresh, clean acidity. The wine is medium-bodied with refreshing acidity. The wine is medium-bodied with refreshing acidity. The wine is medium-bodied with refreshing acidity. The wine is medium-bodied with fresh, clean acidity. The wine is fresh and juicy with a long, clean finish. The wine is dry, crisp andRepresenting a wine of great intensity, intensity and complexity."
94,La Noht Ettate Rhone Vineyard Pinot Noir 1999,Red Wine,Pinot Noir,"Willamette Valley, Oregon","The wine's deep garnet color is an indication of the intensity of this vintage. The aromas of the 1999 vintage are intensely fruity with fresh cherries, strawberries, and cherries combined with floral tones. The flavors mirror aromas with a fresh, fruity and ripe character. The mouth feel is smooth and round with good concentration. The flavors mirror aromas with the flavors of this vintage being the first time we have seen this appellation. The finish is long with fresh, lively acidity."
95,Prypenila Colles Cabernet Sauvignon (haanf-bott) 2015,Red Wine,Cabernet Sauvignon,Chile,"Deep ruby-red color. Expressive aromas of red fruits and cherries. On the palate, this wine is well-balanced with good body, round, well-structured tannins, a pleasant acidity, and a lingering finish. Serve well-chilled or within 3 years."
96,Domaine Dobain Laux Losontes Masies Parevanc Soutiare 2018,Red Wine,Other Red Blends,"Puglia, Italy","Deep ruby red color. Full-bodied and robust with robust and intense tannins. The aromas reflect the flavors of the grape: the bouquet is expressive and pleasant, with a hint of vanilla and sweet spices. The taste is soft, full and round with good body, persistence, and good balance between acidity and alcohol."
97,Moldinere Voutanne Ruad Heureut 2001,White Wine,Other White Blends,"Willamette Valley, Oregon","Pale straw in color.  Fragrant aromas of honey and spice, balanced by hints of fruit and floral notes.  Flavors mirror aromas with ripe flavors of pear, citrus, and green apple.  The mouthfeel is soft and round with mouthwatering acidity.  The mouth feel is fresh, with a lingering impression of fresh-picked fruit on the finish.  The mouth feel is soft and round with mouthwatering acidity.   The finish is long with lingering flavors hitherto in the mouthiest part of the mouth."
